"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
2002,"Cal State Northridge",4.63,41,17,58,58,5,2,2,13,518.2,570,350,267,248,478,94,5,57,2056,.277,60,39,12,15,24
2002,"Cal State Sacramento",6.24,22,34,56,56,10,1,0,3,495.0,631,417,343,216,311,118,18,46,"",.314,51,71,6,33,23
2002,"Campbell",5.69,22,29,51,51,7,2,2,4,395.1,476,311,250,199,283,81,9,38,1571,.303,35,49,13,27,26
2002,"Canisius",9.56,4,38,42,42,9,1,0,1,324.0,483,401,344,216,239,123,13,36,1373,.352,66,63,3,27,25
2002,"Centenary",6.33,15,41,56,56,8,3,1,5,461.0,572,430,324,262,251,123,14,49,"",.306,46,59,16,27,24
2002,"Central Connecticut State",4.52,34,23,57,57,15,3,1,10,436.0,485,282,219,158,357,103,5,35,1770,.274,32,40,11,13,18
2002,"Central Florida",3.83,41,22,63,63,7,3,2,12,514.0,509,282,219,237,485,"","","","","","","","","",""
2002,"Central Michigan",4.86,31,25,56,56,10,3,1,11,472.2,493,331,255,262,504,79,9,40,1838,.268,46,54,19,19,30
2002,"Charleston Southern",8.64,13,24,37,37,5,1,0,2,311.1,513,350,299,122,220,115,16,44,1399,.367,48,28,4,19,10
2002,"Chicago State",8.01,5,36,41,41,5,0,0,3,322.1,454,344,287,164,197,97,11,42,1348,.337,25,43,4,22,29
2002,"Cincinnati",5.44,26,29,56,56,9,2,1,8,484.1,569,346,293,183,287,106,7,70,1930,.295,28,39,5,28,29
2002,"Clemson",4.19,54,17,71,71,1,4,4,26,635.2,652,350,296,236,520,122,8,49,2468,.264,65,55,11,17,28
2002,"Cleveland State",5.74,17,35,52,52,8,2,2,7,411.0,451,343,262,186,336,95,16,50,1674,.269,40,58,8,19,20
2002,"Coastal Carolina",3.40,44,19,63,63,5,3,2,13,547.1,554,272,207,162,406,116,17,39,2090,.265,33,55,8,11,24
2002,"College of Charleston",5.05,36,22,58,58,4,5,2,10,518.1,642,378,291,189,384,"","","","","","","","","",""
2002,"Columbia",6.33,22,25,47,47,13,3,0,4,356.2,477,339,251,172,243,89,17,44,1493,.319,36,35,8,16,12
2002,"Connecticut",5.31,28,22,50,50,9,2,2,10,417.1,495,302,246,163,335,"","","","","","","","","",""
2002,"Coppin State",11.62,8,33,41,41,15,1,0,0,268.0,466,462,346,238,138,107,22,34,1256,.371,55,35,3,35,10
2002,"Cornell",6.55,15,30,45,45,6,0,0,5,349.0,440,318,254,151,261,71,10,31,1433,.307,49,57,5,25,17
2002,"Creighton",5.85,30,24,54,54,8,2,2,14,452.0,571,351,294,164,325,131,13,43,1857,.307,35,45,14,15,24
2002,"C. W. Post",8.46,11,30,42,42,12,0,0,2,312.2,460,368,294,216,218,70,15,44,1343,.343,39,33,8,29,13
2002,"Dartmouth",4.45,21,20,41,41,8,2,2,7,338.0,378,212,167,126,234,"","","","","","","","","",""
2002,"Davidson",5.96,21,29,50,50,9,2,1,8,424.1,567,365,281,172,309,137,16,34,1759,.322,50,52,5,21,25
2002,"Dayton",5.64,32,21,53,53,7,2,0,8,419.2,534,303,263,154,332,97,6,54,1719,.311,32,22,12,10,25
2002,"Delaware",4.92,35,22,57,57,9,1,1,7,490.2,588,344,268,192,381,130,12,47,1981,.297,35,51,6,24,19
2002,"Delaware State",5.41,40,19,59,59,17,4,1,1,454.0,534,361,273,202,363,"","","","","","","","","",""
2002,"Detroit Mercy",6.96,15,36,51,51,8,2,0,8,402.1,528,385,311,234,251,101,10,47,1639,.322,48,50,6,29,32
2002,"Drexel",6.00,21,34,55,55,8,3,0,3,457.1,529,358,305,219,366,129,12,40,1799,.294,54,45,8,26,32
2002,"Duke",6.31,24,34,58,58,3,0,0,9,511.0,677,450,358,202,342,145,9,67,2123,.319,24,59,13,33,26
2002,"Duquesne",5.64,26,23,49,49,16,0,0,3,394.1,420,333,247,189,254,91,5,58,1553,.270,46,54,8,20,21
2002,"East Carolina",3.46,41,18,60,60,0,7,7,17,531.0,502,263,204,178,434,73,9,42,2013,.249,26,57,5,11,26
2002,"Eastern Illinois",5.36,25,26,51,51,3,1,1,8,406.1,460,314,242,229,299,77,9,36,"",.286,40,51,5,18,19
2002,"Eastern Kentucky",8.37,15,40,55,55,7,1,0,3,431.1,642,490,401,227,331,"","","","","","","","","",""
2002,"Eastern Michigan",7.41,30,28,58,58,17,1,0,8,472.1,643,466,389,245,377,118,11,88,1969,.327,44,51,3,24,33
2002,"East Tennessee State",6.74,21,36,57,57,6,0,0,7,467.2,622,417,350,225,329,135,21,52,1927,.323,54,39,5,33,39
2002,"Elon",4.90,34,23,57,57,8,2,1,15,492.0,514,323,268,255,351,103,12,45,1892,.272,33,54,6,27,31
2002,"Evansville",5.63,22,33,55,55,5,0,0,14,462.0,567,376,289,193,317,115,12,60,"",.303,53,47,11,28,34
2002,"Fairfield",6.25,20,29,49,49,11,1,0,4,410.1,545,346,285,149,306,109,10,40,1730,.315,33,35,3,23,23
2002,"Fairleigh Dickinson",7.61,9,35,44,44,8,0,0,1,345.1,493,392,292,229,229,117,13,35,1446,.341,64,53,4,33,19
2002,"Florida Atlantic",4.32,46,21,67,67,9,5,3,12,558.0,609,338,268,217,493,74,10,37,2196,.277,46,53,10,23,27
2002,"Florida",4.34,46,19,65,65,5,3,1,16,579.0,595,328,279,205,441,109,11,62,2265,.263,51,32,22,18,29
2002,"Florida International",4.59,41,20,61,61,2,6,6,15,539.0,574,354,275,264,505,99,11,45,2131,.269,39,52,7,17,17
2002,"Florida State",3.96,60,14,74,74,4,4,3,22,660.2,686,351,291,181,522,122,6,55,2582,.266,29,55,9,19,27
2002,"Fordham",6.91,13,36,50,50,11,0,0,1,391.0,513,387,300,231,201,86,7,55,1615,.318,59,44,6,19,25
2002,"Fresno State",5.26,32,27,59,59,17,3,0,11,518.1,588,350,303,170,415,120,11,57,2037,.289,26,72,12,24,22
2002,"Furman",5.58,26,34,60,60,7,4,0,9,524.1,613,404,325,253,382,94,17,45,2110,.291,55,52,17,26,33
2002,"George Mason",4.73,28,29,57,57,14,5,2,2,492.1,543,327,259,186,347,109,9,46,1954,.278,31,50,11,20,26
2002,"Georgetown",8.24,9,47,56,56,6,0,0,3,439.0,634,493,402,223,286,133,10,59,1878,.338,59,81,11,31,32
2002,"George Washington",4.66,42,23,65,65,8,2,0,10,538.2,546,342,279,189,459,"","","","","","","","","",""
2002,"Georgia",6.02,32,29,61,61,0,1,1,11,536.2,662,415,359,244,389,130,17,53,2176,.304,55,49,9,22,27
2002,"Georgia Southern",5.02,39,25,64,64,3,5,5,13,563.1,594,363,314,258,552,129,10,50,2193,.271,53,37,25,17,45
2002,"Georgia State",5.19,24,32,56,56,11,2,0,10,453.0,533,328,261,183,277,102,11,44,1811,.294,42,56,16,15,20
2002,"Georgia Tech",4.06,52,16,68,68,5,6,4,11,606.2,641,344,274,171,496,118,9,57,2411,.266,47,72,8,18,18
2002,"Gonzaga",5.51,27,29,56,56,4,2,1,9,483.2,623,339,296,174,351,"","","","","","","","","",""
2002,"Grambling State",5.93,23,26,50,50,18,3,2,3,347.1,447,365,229,173,268,87,20,46,1488,.300,20,41,16,23,16
2002,"Hartford",7.24,17,29,46,46,6,2,1,8,336.2,454,348,271,164,235,99,5,46,1413,.321,49,61,11,22,13
2002,"Harvard",4.91,20,26,46,46,15,1,0,6,383.0,416,263,209,156,388,78,14,36,"",.275,36,44,15,0,30
2002,"Hawaii-Hilo",7.02,10,38,49,49,2,1,0,3,391.0,519,389,305,203,226,92,25,29,1644,.316,49,84,7,24,11
2002,"Hawaii",5.77,16,40,56,56,4,0,0,4,497.1,634,376,319,170,376,"","","","","","","","","",""
2002,"High Point",5.97,26,31,57,57,4,3,1,15,469.0,632,381,311,165,330,98,21,37,1979,.319,43,45,11,27,20
2002,"Hofstra",6.93,12,40,52,52,4,2,2,7,431.1,556,433,332,238,274,149,23,39,"",.311,87,70,16,25,28
